id,eps,codigo_cups,descripcion,tarifa
55,EMSSANAR_CAPITA,232102,OBTURACION DENTAL CON RESINA DE FOTOCURADO,
56,EMSSANAR_CAPITA,232103,OBTURACION DENTAL CON IONOMERO DE VIDRIO,
57,EMSSANAR_CAPITA,232201,OBTURACION TEMPORAL POR DIENTE,
58,EMSSANAR_CAPITA,232401,RECONSTRUCCION DE ANGULO INCISAL,
59,EMSSANAR_CAPITA,232402,RECONSTRUCCION TERCIO INCISAL,
60,EMSSANAR_CAPITA,237102,PULPOTOMIA,
61,EMSSANAR_CAPITA,237103,PULPECTOMIA,
62,EMSSANAR_CAPITA,237301,TERAPIA DE CONDUCTO RADICULAR EN DIENTE UNIRRADICULAR,
63,EMSSANAR_CAPITA,237302,TERAPIA DE CONDUCTO RADICULAR EN DIENTE BIRRADICULAR,
64,EMSSANAR_CAPITA,237304,TERAPIA DE CONDUCTO RADICULAR EN DIENTE TEMPORAL UNIRRADICULAR,
65,EMSSANAR_CAPITA,243201,SUTURA DE LACERACION DE ENCIA - MENOR DE TRES CENTIMETROS,
66,EMSSANAR_CAPITA,274901,REMOCION DE CUERPO EXTRANO EN TEJIDOS BLANDOS DE LA BOCA,
67,EMSSANAR_CAPITA,275101,SUTURA O REPARACION DE LACERACION ( HERIDA ) EN LABIOS HASTA DE CINCO CENTIMETROS,
68,EMSSANAR_CAPITA,275102,SUTURA O REPARACION DE LACERACION ( HERIDA ) EN LABIOS DE MAS DE CINCO CENTIMETROS,
69,EMSSANAR_CAPITA,275104,SUTURA DE LACERACION EN LABIOS,
70,EMSSANAR_CAPITA,275203,SUTURA DE LACERACION DE OTRA PARTE DE LA BOCA,
71,EMSSANAR_CAPITA,389301,CATETERISMO O CANALIZACION DE VENA,
72,EMSSANAR_CAPITA,579401,INSERCION DE DISPOSITIVO URINARIO ( VESICAL ),
73,EMSSANAR_CAPITA,579501,REEMPLAZO DE DISPOSITIVO URINARIO ( VESICAL ),
74,EMSSANAR_CAPITA,5DS002,DERECHOS DE SALA DE CURACIONES O PROCEDIMIENTOS,
75,EMSSANAR_CAPITA,5DS003,DERECHOS DE SALA DE PEQUENA CIRUGIA ( SUTURAS ),
76,EMSSANAR_CAPITA,5DS004,DERECHOS DE SALA DE YESOS,
77,EMSSANAR_CAPITA,5DSB01,DERECHOS DE SALA DE OBSERVACION EN URGENCIAS COMPLEJIDAD BAJA,
78,EMSSANAR_CAPITA,601T01,TRASLADO ASISTENCIAL BASICO TERRESTRE PRIMARIO,
79,EMSSANAR_CAPITA,786902,EXTRACCION DE CUERPO EXTRANO EN FALANGES ( UNO O MAS ) DE MANO - VIA ABIERTA,
80,EMSSANAR_CAPITA,829910,EXTRACCION DE CUERPO EXTRANO EN TEJIDOS BLANDOS DE DEDOS DE LA MANO,
81,EMSSANAR_CAPITA,858101,SUTURA DE HERIDA DE MAMA,
82,EMSSANAR_CAPITA,860207,LEISHMANIA PRUEBA [ DE MONTENEGRO ],
83,EMSSANAR_CAPITA,861201,EXTRACCION DE CUERPO EXTRANO EN PIEL O TEJIDO CELULAR SUBCUTANEO DE AREA GENERAL POR INCISION,
84,EMSSANAR_CAPITA,861202,EXTRACCION DE CUERPO EXTRANO EN PIEL O TEJIDO CELULAR SUBCUTANEO DE AREA ESPECIAL POR INCISION,
85,EMSSANAR_CAPITA,862701,ONICECTOMIA,
86,EMSSANAR_CAPITA,865101,SUTURA DE HERIDA UNICA - EN AREA GENERAL,
87,EMSSANAR_CAPITA,865102,SUTURA DE HERIDA MULTIPLE - EN AREA GENERAL,
88,EMSSANAR_CAPITA,865201,SUTURA DE HERIDA UNICA DE CARA,
89,EMSSANAR_CAPITA,865202,SUTURA DE HERIDA UNICA DE CARA SIN COMPROMISO DE LABIOS O PARPADOS,
90,EMSSANAR_CAPITA,865203,SUTURA DE HERIDA UNICA DE PLIEGUES DE FLEXION - GENITALES - MANOS Y PIES,
91,EMSSANAR_CAPITA,865204,SUTURA DE HERIDA MULTIPLE DE CARA,
92,EMSSANAR_CAPITA,865205,SUTURA DE HERIDA MULTIPLE DE CARA SIN COMPROMISO DE LABIOS O PARPADOS,
93,EMSSANAR_CAPITA,865206,SUTURA DE HERIDA MULTIPLE DE PLIEGUES DE FLEXION - GENITALES - MANOS Y PIES,
94,EMSSANAR_CAPITA,865207,SUTURA DE HERIDA PARCIAL DE CUERO CABELLUDO ( ESCALPE ),
95,EMSSANAR_CAPITA,865208,SUTURA DE AVULSION EN PABELLON AURICULAR - NARIZ - LABIOS - PARPADOS O GENITALES,
96,EMSSANAR_CAPITA,865210,SUTURA DE MATRIZ UNGUEAL,
97,EMSSANAR_CAPITA,869401,RETIRO DE SUTURA EN PIEL O TEJIDO CELULAR SUBCUTANEO,
98,EMSSANAR_CAPITA,869501,CURACION DE LESION EN PIEL O TEJIDO CELULAR SUBCUTANEO,
99,EMSSANAR_CAPITA,870001,RADIOGRAFIA DE CRANEO SIMPLE,
100,EMSSANAR_CAPITA,870003,RADIOGRAFIA DE BASE DE CRANEO,
101,EMSSANAR_CAPITA,870005,RADIOGRAFIA DE MASTOIDES COMPARATIVAS,
102,EMSSANAR_CAPITA,870101,RADIOGRAFIA DE CARA ( PERFILOGRAMA ). -- INCY : CON CEFALOSTATO,
103,EMSSANAR_CAPITA,870102,RADIOGRAFIA DE ORBITAS,
104,EMSSANAR_CAPITA,870107,RADIOGRAFIA DE HUESOS NASALES,
105,EMSSANAR_CAPITA,870108,RADIOGRAFIA DE SENOS PARANASALES,
106,EMSSANAR_CAPITA,871010,RADIOGRAFIA DE COLUMNA CERVICAL,
107,EMSSANAR_CAPITA,871020,RADIOGRAFIA DE COLUMNA TORACICA,
108,EMSSANAR_CAPITA,871030,RADIOGRAFIA DE COLUMNA DORSOLUMBAR,
109,EMSSANAR_CAPITA,871040,RADIOGRAFIA DE COLUMNA LUMBOSACRA,
110,EMSSANAR_CAPITA,871050,RADIOGRAFIA DE SACRO COCCIX,
111,EMSSANAR_CAPITA,871091,RADIOGRAFIA DE ARTICULACIONES SACROILIACAS,
