id	cups	procedimiento								D	D				D
4842	908110	Glicina determinacion en orina o sangre													
4468	908109	Fenilalanina. cuantitativa en orina o sangre													
1684	908107	Cistina. cuantitativa en orina o sangre													
287	908106	Aminoacidos por nitrosonaftol													
286	908105	Aminoacidos por nitroprusiato													
285	908104	Aminoacidos por dinitrofenilhidracina													
284	908103	Aminoacidos por cloruro ferrico													
289	908102	Aminoacidos. cualitativos por cromatografia en sangre													
288	908101	Aminoacidos. cualitativos por cromatografia en orina													
72	908002	Acido orotico													
99	908001	Acidos organicos [cadena corta] por cromatografia de gases													
6222	907203	Liquido prostatico [examen microscopico]													
6557	907202	MOCO CERVICAL ANÁLISIS (prueba de helecho)													
3728	907201	Espermograma basico													
10564	907107	UROBILINÓGENO EN ORINA PARCIAL													
10558	907106	UROANÁLISIS													
10559	907105	Uroanalisis con sedimento y densidad urinaria													
7873	907104	Recuento de hamburger													
7867	907103	Recuento de addis													
7509	907102	Proteina bence jones por calor													
5102	907101	Hemoglobinuria													
2187	907014	COPROSCÓPICO SERIADO TRES MUESTRAS													
10563	907011	Urobilinogeno en materia fecal. cuantitativo													
10562	907010	Urobilinogeno en materia fecal. cualitativo													
9284	907009	SANGRE OCULTA EN MATERIA FECAL (DETERMINACIÓN DE HEMOGLOBINA HUMANA ESPECÍFICA)													
9285	907008	Sangre oculta en materia fecal [guayaco o equivalente]													
7092	907007	Oxiuros. identificacion perianal [cinta adhesiva o prueba de graham]													
4908	907006	Grasas neutras en heces [sudan iii]													
4656	907005	Frotis rectal [identificacion de trofozoitos]													
2184	907004	Coproscopico													
2179	907003	Coprologico por concentracion													
2177	907002	Coprologico													
996	907001	Azucares reductores en heces													
9354	906916	Serologia [prueba no trepomenica] vdrl en suero o lcr													
7564	906915	PRUEBA NO TREPONÉMICA MANUAL													
7512	906914	PROTEÍNA C REACTIVA MANUAL O SEMIAUTOMATIZADO													
7511	906913	PROTEÍNA C REACTIVA ALTA PRECISIÓN AUTOMATIZADO													
7407	906912	PREALBÚMINA SEMIAUTOMATIZADO O AUTOMATIZADO													
4416	906911	FACTOR REUMATOIDEO MANUAL													
4415	906910	FACTOR REUMATOIDEO SEMIAUTOMATIZADO O AUTOMATIZADO													
4414	906909	Factor rematoideo [r.a.] cuantitativo por nefelometria													
2485	906908	Crioglobulinas													
1967	906907	Complemento serico c4 cuantitativo por nefelometria													
1966	906906	Complemento serico c4 cuantitativo por idr													
1965	906905	Complemento serico c3 cuantitativo por nefelometria													
1964	906904	Complemento serico c3 cuantitativo por idr													
1962	906903	Complemento hemolitico al 50% [ch 50]													
174	906902	Aglutininas al calor													
175	906901	Aglutininas al frio													
5688	906836	INMUNOGLOBULINA E [Ig E] TOTAL POR RIA													
5686	906835	Inmunoglobulina e [ig e] total por eia													
5694	906830	Inmunoglobulina kedrion													
5680	906818	Inmunoelectroforesis de cualquier muestra													
5583	906817	Inhibidores de esterasas de c1q													
4436	906813	Fagocitosis. estudio													
3370	906811	Electroforesis de proteinas en cualquier liquido incluido suero y orina													
3369	906810	Electroforesis de proteinas de l.c.r. [deteccion de bandas oligoclonales]													
3368	906809	Electroforesis de lipoproteinas													
3367	906808	Electroforesis de hemoglobina en medio alcalino													
3366	906807	Electroforesis de hemoglobina en medio acido													
3365	906806	Electroforesis de aminoacidos en orina													
1347	906802	Campo oscuro para cualquier muestra													
1018	906801	Beta 2 glicoproteina 1 semiautomatizado o automatizado													
6200	906729	Linfocitos t. cuantificacion cd3. cd4 y cd8													
6198	906728	Linfocitos t cd8 por inmunofluor escencia													
6197	906727	Linfocitos t cd8 por citometria de flujo													
6196	906726	Linfocitos t cd4 por inmunofluor escencia													
6195	906725	Linfocitos t cd4 por citometria de flujo													
6194	906724	Linfocitos t cd3 por inmunofluor escencia													
6193	906723	Linfocitos t cd3 por citometria de flujo													
6190	906714	Linfocitos cd11 por inmunohistoquimica													
6189	906713	Linfocitos cd11 por citometria de flujo													
6187	906710	Linfocitos b. cuantificacion [totales cd19 y maduros cd20] por citometria de flujo													
2523	906701	Cultivo mixto de linfocitos													
4891	906625	GONADOTROPINA CORIÓNICA SUBUNIDAD BETA SEMIAUTOMATIZADO O AUTOMATIZADO													
1334	906621	CALCITONINA SEMIAUTOMATIZADO O AUTOMATIZADO													
4802	906620	Gastrina													
1332	906616	Calcitonina													
1022	906615	Beta 2 microglobulina en cualquier muestra													
1021	906614	Beta 2 microglobulina en cualquier liquido por nefelometria													
537	906611	ANTÍGENO ESPECÍFICO DE PRÓSTATA FRACCIÓN LIBRE SEMIAUTOMATIZADO O AUTOMATIZADO													
540	906610	Antigeno especifico para cancer de prostata psa													
538	906609	Antigeno especifico de prostata. fraccion libre													
536	906608	Antigeno especifico de prostata													
532	906607	Antigeno carcinoembrionario													
535	906606	Antigeno de cancer de tubo digestivo [ca 19-9]													
533	906605	Antigeno de cancer de mama [ca 15-3]													
534	906604	Antigeno de cancer de ovario [ca 125]													
254	906603	Alfa fetoproteina [afp] en liquidos													
255	906602	Alfa fetoproteina [afp] serica													
78	906601	Acido sialico													
9973	906517	TIPIFICACIÓN ANTÍGENO LEUCOCITARIO HUMANO LOCUS B27													
5308	906510	Hla citotoxicos. anticuerpos por serologia													
5307	906509	Hla citotoxicos. anticuerpos por citometria de flujo													
5302	906503	Histocompatibilidad. antigeno b-8. b-7. b-5. b-40. b-47. otros [clase i] cada uno													
5301	906502	Histocompatibilidad. antigeno a. b. c. dr. dq [clase i y ii]													
5300	906501	Histocompatibilidad. antigeno a. b. c [clase i]													
6514	906485	MIELOPEROXIDASA ANTICUERPOS SEMIAUTOMATIZADO O AUTOMATIZADO													
1731	906466	CITRULINA ANTICUERPOS [ANTI PÉPTIDO CÍCLICO CITRULINADO] SEMIAUTOMATIZADO O AUTOMATIZADO													
10008	906463	Tiroideos Tiroglobulínicos Anticuerpos Automatizado													
500	906442	ANTICUERPOS ANTINUCLEARES SEMIAUTOMATIZADO													
2951	906418	Dna anticuerpos													
2952	906417	DNA n ANTICUERPOS SEMIAUTOMATIZADO O AUTOMATIZADO													
1726	906415	CITOPLASMA DE NEUTRÓFILOS ANTICUERPOS TOTALES [C ANCA O P ANCA] AUTOMATIZADO													
1727	906414	CITOPLASMA DE NEUTRÓFILOS ANTICUERPOS TOTALES [C-ANCA O P-ANCA] MANUAL O SEMIAUTOMATIZADO													
5687	906410	Inmunoglobulina e [ig e] total por ria													
5685	906408	Inmunoglobulina e [ig e] especifica [dosificacion cada alergeno- rast test]													
1424	906407	Cardiolipina anticuerpos lg a semiautomatizado o automatizado													
521	906406	ANTICUERPOS NUCLEARES EXTRACTABLES TOTALES [ENA] SS-A [Ro] SS-B [La] RNP y Sm SEMIAUTOMATIZADO O AUTOMATIZADO													
5695	906405	Inmunoglobulina m [igm] cuantitativa por idr													
5690	906404	Inmunoglobulina g [igg] cuantitativa por nefelometria													
5689	906403	Inmunoglobulina g [igg] cuantitativa por idr													
5682	906402	Inmunoglobulina a [iga] cuantitativa por nefelometria													
5681	906401	Inmunoglobulina a [iga] cuantitativa por idr													
10010	906361	Tiroideos tiroglobulinicos. anticuerpos por iha													
10009	906360	Tiroideos tiroglobulinicos. anticuerpos por ifi													
10011	906359	Tiroideos tiroglobulinicos. anticuerpos por ria/eia													
10005	906357	Tiroideos microsomales. anticuerpos por ifi													
10007	906356	Tiroideos microsomales. anticuerpos por ria/eia													
10006	906355	Tiroideos microsomales. anticuerpos por iha													
10004	906354	Tiroideos coloidales. anticuerpos													
9531	906353	Sm. anticuerpos por eia													
9297	906352	Scl 70. anticuerpos por eia													
9170	906351	Ro/ssa. anticuerpos por eia													
9169	906350	Rnp. anticuerpos													
7351	906346	Pm2. anticuerpos													
7350	906345	Pm1. anticuerpos													
7349	906344	Pm/scl. anticuerpos													
7276	906341	Plaquetarios. anticuerpos por citometria de flujo													
9291	906340	Sars cov 2 (covid-19) antigeno													
6769	906338	Nucleares. anticuerpos [ana] por ria/eia													
6768	906337	Nucleares. anticuerpos [ana] por ifi													
6594	906335	Musculo liso. anticuerpos [asma] por ria/eia													
6593	906334	Musculo liso. anticuerpos [asma] por iha													
6592	906333	Musculo liso. anticuerpos [asma] por ifi													
6556	906332	Mitocondria. anticuerpos [ama] por ria													
6555	906331	Mitocondria. anticuerpos [ama] por ifi													
6554	906330	Mitocondria. anticuerpos [ama] por eia													
5939	906328	La/ssb. anticuerpos por eia													
5906	906326	Isoleucoaglutininas													
5900	906325	Isoaglutininas													
5764	906324	Insulina. anticuerpos islotes [ica]													
6655	906323	Neisseria gonorrhoeae ANTÍGENO													
4614	906322	Fosfolipidos. anticuerpos ig g por eia													
3725	906321	Esperma o espermatozoides. anticuerpos por eia													
3724	906320	Esperma o espermatozoides. anticuerpos por citometria de flujo													
5138	906318	Hepatitis B ANTÍGENO e [Ag HBe] SEMIAUTOMATIZADO O AUTOMATIZADO													
5146	906317	Hepatitis b. antigeno de superficie [ag hbs]													
1725	906315	Citoplasma de neutrofilos ancas. anticuerpos [c-anca o p-anca] por ifi													
1724	906314	Citoplasma de neutrofilos ancas. anticuerpos [c-anca o p-anca] por eia													
1523	906313	Centromero. anticuerpos por ifi													
1522	906311	Celulas parietales. anticuerpos													
1428	906309	Cardiolipina. anticuerpos ig m por eia													
1427	906308	Cardiolipina. anticuerpos ig g por eia													
1426	906307	Cardiolipina. anticuerpos ig a. ig g e ig m por eia													
1425	906306	Cardiolipina. anticuerpos ig a por eia													
665	906305	Arbovirus ANTÍGENO SEMIAUTOMATIZADO O AUTOMATIZADO													
545	906304	Antigenos febriles [vidal o weil felix]													
542	906302	Antigeno p 24 vih 1													
45	906301	Acetilcolina. anticuerpos por ria													
9294	906271	SARS CoV2 [COVID-19] ANTICUERPOS Ig M													
9293	906270	SARS CoV2 [COVID-19] ANTICUERPOS Ig G													
10748	906250	Virus de inmunodeficiencia humana prueba confirmatoria													
10739	906249	Vih - virus de inmunodeficiencia humana 1 y 2 anticuerpos													
10661	906247	Varicela zoster. anticuerpos ig g													
9179	906243	Rubeola anticuerpos igg m													
9178	906242	Rubeola anticuerpos igg g													
9177	906241	Rubeola anticuerpos igg													
5204	906231	Herpes II ANTICUERPOS Ig M MANUAL, SEMIAUTOMATIZADO O AUTOMATIZADO													
5203	906230	Herpes II ANTICUERPOS Ig G MANUAL, SEMIAUTOMATIZADO O AUTOMATIZADO													
5199	906229	Herpes I ANTICUERPOS Ig M MANUAL, SEMIAUTOMATIZADO O AUTOMATIZADO													
5198	906228	Herpes I ANTICUERPOS Ig G MANUAL, SEMIAUTOMATIZADO O AUTOMATIZADO													
5137	906223	Hepatitis b anticuerpos s [anti - hbs] semiautomatizado o automatizado													
9253	906222	Salmonella. identificacion directa en materia fecal por latex													
5136	906221	Hepatitis B ANTICUERPOS CENTRAL TOTALES [ANTI-CORE HBc] SEMIAUTOMATIZADO O AUTOMATIZADO													
5135	906220	Hepatitis B ANTICUERPOS CENTRAL Ig M [ANTI-CORE HBC-M] SEMIAUTOMATIZADO O AUTOMATIZADO													
5129	906218	Hepatitis A ANTICUERPOS Ig M SEMIAUTOMATIZADO O AUTOMATIZADO													
6484	906217	Micobacterias. identificacion													
6035	906216	Legionella. antigeno													
3523	906214	Epstein-Barr ANTICUERPOS Ig G (TEMPRANOS G) SEMIAUTOMATIZADO O AUTOMATIZADO													
5158	906213	Hepatitis delta. antigeno [ag hvd]													
5150	906212	Hepatitis b. antigeno e [ag hbe]													
5147	906211	Hepatitis b. antigeno de superficie [ag hbs] &													
2497	906209	Cryptococcus neoformans. antigeno													
2614	906208	Dengue ANTICUERPOS Ig M													
1547	906207	Chlamydia trachomatis. antigeno por ifd													
1721	906206	Citomegalovirus anticuerpos igm													
1720	906205	Citomegalovirus anticuerpos igg													
544	906204	Antigenos febriles [vidal o weil felix]													
543	906203	Antigenos bacterianos en l.c.r. sangre u otra muestra. prueba directa [polivalente para meningitis]													
541	906202	Antigeno p 24 vih 1													
1546	906201	Chlamydia trachomatis. antigeno por eia													
10744	906167	Vih. prueba confirmatoria por western blot o equivalente													
10741	906166	Vih 1 y 2. anticuerpos &													
10662	906165	Varicela zoster. anticuerpos ig m													
10359	906163	Tripamosoma cruzy [chagas] anticuerpos por latex													
10361	906162	Tripanosoma cruzy [chagas] anticuerpos por eia &													
10138	906161	Toxoplasma gondii. anticuerpos ig m													
10137	906160	Toxoplasma gondii. anticuerpos ig g por ifi													
10136	906159	Toxoplasma gondii. anticuerpos ig g por eia													
10129	906157	Toxocara canis. antcuerpos													
9289	906155	Sarampion. anticuerpos ig m													
9288	906154	Sarampion. anticuerpos ig g por eia													
6044	906146	Leishmania mucocutanea [viceral] anticuerpos por ifi													
5331	906144	Htlv-i. ii anticuerpos [anti htlv-i] totales confirmativo													
5332	906143	Htlv-i. ii anticuerpos [anti htlv-i] totales presuntivos &													
5312	906142	Hongos. anticuerpos totales por serologica													
5207	906141	Herpes ii. anticuerpos ig m													
5206	906140	Herpes ii. anticuerpos ig g													
5202	906139	Herpes i. anticuerpos ig m													
5201	906138	Herpes i. anticuerpos ig g													
5156	906137	Hepatitis delta. anticuerpos [anti-hvd] ig m													
5155	906136	Hepatitis delta. anticuerpos [anti-hvd]													
5152	906135	Hepatitis c. anticuerpo [anti-hvc] &													
5151	906134	Hepatitis b. dna polimerasa. anticuerpos													
10419	906133	Trypanosoma cruzi ANTICUERPOS Ig M SEMIAUTOMATIZADO O AUTOMATIZADO													
10420	906132	Trypanosoma cruzi ANTICUERPOS MANUAL													
10418	906131	Trypanosoma cruzi ANTICUERPOS Ig G SEMIAUTOMATIZADO O AUTOMATIZADO													
5144	906130	Hepatitis b. anticuerpos central ig m [anti-core hbc-m]													
10135	906129	Toxoplasma gondii anticuerpos ig m semiautomatizado o automatizado													
4632	906128	Fotoplasma gond ii anticuerpos ig g manual semantizado													
10134	906127	Toxoplasma gondii anticuerpos ig g semiautomatizado o automatizado													
10133	906126	Toxoplasma gondii anticuerpos ig a semiautomatizado o automatizado													
3528	906125	Epstein-barr. anticuerpos ig m [capsula eb-vca-m] por eia													
3527	906124	Epstein-barr. anticuerpos ig g [tempranos g] por eia													
3526	906123	Epstein-barr. anticuerpos ig g [nucleares ebna-g] por eia													
3525	906122	Epstein-barr. anticuerpos ig g [capsula eb-vca-g] por eia													
3524	906121	Epstein-barr. anticuerpos ig a [capsula eb-vca-a]													
3450	906120	Enterovirus. anticuerpos													
3442	906119	Entamoeba histolitica. anticuerpos por eia o inmunodifusion													
1780	906114	Coccidioides. anticuerpos en l.c.r.													
1779	906113	Coccidioides. anticuerpos													
1681	906110	Cisticerco anticuerpos totales por eia													
1682	906109	Cisticerco. anticuerpos ig g por eia													
1234	906108	Blastomyces. anticuerpos													
887	906107	Aspergillus. anticuerpos por latex													
664	906106	Arbovirus [eev y otras encefalitis] prueba presuntiva													
663	906105	Arbovirus [eev y otras encefalitis] prueba confirmatoria													
125	906101	Actymonices. anticuerpos													
10350	906039	Treponema pallidum ANTICUERPOS (PRUEBA TREPONEMICA) MANUAL O SEMIAUTOMATIZADA O AUTOMATIZADA													
6049	906030	Leptospira ANTICUERPOS Ig M SEMIAUTOMATIZADO O AUTOMATIZADO													
6048	906029	Leptospira ANTICUERPOS Ig G SEMIAUTOMATIZADO O AUTOMATIZADO													
6607	906026	Mycoplasma pneumoniae. anticuerpos totales													
6606	906025	Mycoplasma pneumoniae. anticuerpos ig m													
6051	906023	Leptospira. anticuerpos ig m													
6050	906022	Leptospira. anticuerpos ig g													
6033	906021	Legionella pneumoniae. anticuerpos por ifi													
1543	906020	Chlamydia trachomatis ANTICUERPOS Ig M SEMIAUTOMATIZADO O AUTOMATIZADO													
1542	906019	Chlamydia trachomatis ANTICUERPOS Ig G SEMIAUTOMATIZADO O AUTOMATIZADO													
1545	906014	Chlamydia trachomatis. anticuerpos totales por eia													
1304	906013	Brucella spp ANTICUERPOS MANUAL													
1305	906012	Brucella spp ANTICUERPOS SEMIAUTOMATIZADO													
1544	906011	Chlamydia trachomatis. anticuerpos ig a													
1272	906007	Bordetella pertussi ANTICUERPOS Ig M AUTOMATIZADO													
524	906002	Antiestreptolisina o cuantitativa por titulacion													
523	906001	Antiestreptolisina o cuantitativa por nefelometria													
9729	905759	Talio en orina de 24 h													
9610	905758	Sustancias alucinogenas													
9250	905755	Salicilatos													
7485	905752	Propoxifeno. semicuantitativa por cromatografia de capa fina													
7423	905750	Primidona. semicuantitativo por cromatografia de capa fina													
7346	905748	Plomo en orina o sangre													
7154	905743	Paranitrofenol													
6900	905742	Organofosforados. semicuantitativo por cromatografia de capa fina													
6897	905740	Organoclorados													
6891	905739	Opiaceos. semicuantitativo por cromatografia de capa fina o inmunoensayo													
6578	905737	Monoxido de carbono													
6452	905736	Metales pesados. cada uno en orina o sangre por absorcion atomica													
6446	905735	Metadona. semicuantitativa por cromatografia de capa fina													
6444	905733	Metacualona. semicuantitativo por cromatografia de capa fina													
6437	905731	Mercurio en orina de 24h o sangre													
6435	905730	Mercurio en cabello o unas													
3777	905729	Estrignina. semicuantitativa por cromatografia de capa fina													
3136	905727	Drogas de abuso													
1778	905726	Cocaina. semicuantitativa por inmunoensayo o cromatografia de capa fina													
1777	905725	Cocaina. metabolitos en orina													
5222	905723	Hidrocarburos													
1775	905722	Cobre en orina o sangre por absorcion atomica													
1549	905721	Cianuros													
1353	905718	Cannabinoides. semicuantitativa por cromatografia de capa fina o inmunoensayo													
1326	905716	Cafeina. semicuantitativa por inmunoensayo o cromatografia de capa fina													
1324	905714	Cadmio por absorcion atomica en orina o sangre													
1231	905713	Bipiridilo. semicuantitativa por cromatografia de capa fina													
968	905711	Atropinicos. semicuantitativo por cromatografia de capa fina													
681	905709	Arsenico en orina o sangre por absorcion atomica													
237	905707	Alcohol metilico-formaldehido en cualquier muestra por colorimetria													
234	905706	Alcohol etilico en cualquier muestra por inmunoensayo													
232	905704	Alcaloides. semicuantitativo por cromatografia de capa fina													
37	905702	Acetaminofen por inmunoensayo													
9889	905608	Teofilina por nefelometria													
9888	905607	Teofilina por eia													
6759	905606	Nitroprusiato de sodio													
2856	905605	Digoxina. semicuantitativa por inmunoensayo o cromatografia de capa fina													
2855	905604	Digoxina. cuantitativa por nefelometria													
2853	905602	Digitoxina. semicuantitativa por inmunoensayo o cromatografia de capa fina													
1559	905502	Ciclosporina a y metabolitos													
10658	905411	Vancomicina. semicuantitativa por cromatografia de capa fina													
10030	905409	Tobramicina													
7426	905408	Procainamida por inmunoensayo													
6664	905407	Netilmicina													
5925	905406	Kanamicina. semicuantitativa por cromatografia de capa fina													
4825	905405	Gentamicina. semicuantitativa por inmunoensayo													
276	905403	Amikacina. semicuantitativa por inmunoensayo													
275	905402	Amikacina. cuantitativa por nefelometria													
6243	905316	Litio por fotometria de llama													
6242	905315	Litio en orina de 24 h por fotometria de llama													
4487	905313	Fenotiazinas en suero. orina y lavado gastrico. semicuantitativa por cromatografia de capa fina													
4461	905311	Fenciclidina													
1760	905309	Clorpromazina													
1016	905306	Benzodiacepinas. semicuantitativa por cromatografia de capa delgada e inmunoensayo en orina													
522	905304	Antidepresivos triciclicos. semicuantitativo por inmunoensayo o cromatografia de capa fina													
429	905302	Anfetaminas y metanfetaminas. semicuantitativa por inmunoensayo en orina													
4482	905216	Fenobarbital. semicuantitativo por inmunoensayo o cromatografia de capa fina													
4481	905215	Fenobarbital. cuantitativo por nefelometria													
4475	905213	Fenitoina libre y total. semicuantitativo por inmunoensayo o cromatografia de capa fina													
4474	905212	Fenitoina libre y total. cuantitativo por nefelometria													
4473	905210	Fenitoina libre													
3912	905209	Etosuximida. semicuantitativa por inmunoensayo o cromatografia de capa fina													
1406	905207	Carbamazepina. semicuantitativa por inmunoensayo o cromatografia de capa fina													
1405	905206	Carbamazepina. cuantitativa por nefelometria													
1005	905204	Barbituricos. semicuantitativo por inmunoensayo													
92	905202	Acido valproico libre													
89	905201	Acido valproico													
10783	905103	Warfarina cuantitativa por cromatografia liquida													
10782	905102	Warfarina cualitativa por cromatografia de capa delgada													
7425	905003	Procainamida metabolitos. n-acetil procainamida [napa]													
6115	905002	Lidocaina [monoetilglicinexilidida-megx] semicuantitativo por inmunoensayo o cromatografia de capa fina													
10371	904925	TRIYODOTIRONINA TOTAL													
10366	904924	TRIYODOTIRONINA LIBRE													
10017	904921	TIROXINA LIBRE													
9994	904920	TIROGLOBULINA													
10367	904919	Triyodotironina libre t3l													
10370	904918	Triyodotironina t3 [uptake o captacion t3]													
10021	904917	Tiroxina total t4													
10018	904916	TIROXINA LIBRE PRE Y POST LEVOTIROXINA													
5326	904913	Hormona paratiroidea molecula media [paratohormona pth]													
5321	904906	Hormona estimulante del tiroides pre y post trh [dos muestras]													
5322	904905	Hormona estimulante del tiroides pre y post trh [dos muestras] ultrasensible													
5320	904904	Hormona estimulante del tiroides [tsh] ultrasensible													
5319	904903	Hormona estimulante del tiroides [tsh] neonatal													
5317	904902	Hormona estimulante del tiroides [tsh]													
4845	904901	Globulina transportadora de tiroxina [tbg]													
5242	904811	Hidroxicorticosteroides. 17 [17 ohcs]													
2596	904809	Dehidroepinandrosterona sulfato [epinandrosterona -dhea-so4]													
2594	904808	Dehidroepinandrosterona													
2426	904807	Cortisol libre en orina de 24 h													
2424	904805	Cortisol													
1540	904804	Cetoesteroides 17													
242	904802	Aldosterona en orina													
241	904801	Aldosterona													
5760	904705	Insulina libre													
5751	904704	Insulina [cada muestra]													
9947	904602	Testosterona total													
9945	904601	Testosterona libre													
7467	904511	Progesterona													
5246	904510	Hidroxiprogesterona 17 alfa													
4892	904509	Gonadotropina corionica. subunidad beta cualitativa. [bhcg] prueba de embarazo en orina o suero													
4893	904508	Gonadotropina corionica. subunidad beta cualitativa. [bhcg] prueba de embarazo en orina o suero													
3784	904507	Estrogenos [estradiol 17 beta]													
3781	904506	Estriol libre													
3780	904505	Estriol en sangre													
3779	904504	Estriol en orina													
3774	904503	Estradiol													
421	904502	Androsterona en orina													
418	904501	Androstenediona													
7473	904109	Prolactina [mezcla de tres muestras]													
7472	904108	Prolactina [basal]													
5325	904107	Hormona luteinizante [lh]													
5324	904106	Hormona foliculo estimulante [fsh] y hormona luteinizante liberadora de gonadotropina [4 muestras]													
5323	904105	Hormona foliculo estimulante [fsh]													
5316	904104	Hormona de crecimiento o somatotropica													
5315	904103	Hormona adrenocorticotropica [acth]													
4407	904101	Factor i de crecimiento similar a la insulina [somatomedina c]													
8358	904003	Renina													
3478	904002	ENZIMA CONVERTIDORA DE ANGIOTENSINA													
2472	903895	Creatinina en suero u otros fluidos													
4880	903883	Glucosa semiautomatizada [glucometria]													
2469	903876	Creatinina en orina													
10486	903874	Urea													
10354	903873	Trigliceridos													
10153	903872	Transaminasa glutamico oxalacetica o aspartato amino transferasa [tgo-ast]													
10154	903871	Transaminasa glutamico piruvica o alanino amino transferasa [tgp-alt]													
9537	903870	Sodio en orina													
10485	903869	Urea													
10355	903868	Trigliceridos													
10152	903867	TRANSAMINASA GLUTÁMICO OXALACÉTICA [ASPARTATO AMINO TRANSFERASA]													
10155	903866	TRANSAMINASA GLUTÁMICO-PIRÚVICA [ALANINO AMINO TRANSFERASA]													
7392	903865	Potasio en orina de 24 h													
9538	903864	SODIO EN SUERO U OTROS FLUIDOS													
7520	903863	Proteinas totales en suero y otros fluidos													
7525	903862	Proteinuria en orina de 24 h													
7517	903861	Proteinas diferenciadas [albumina-globulina]													
6284	903860	Magnesio en orina de 24h													
7393	903859	Potasio en suero u otros fluidos													
6225	903858	Liquido sinovial [examen fisico y citoquimico con recuento y morfologia de erotrocitos y leucocitos. glucosa. proteinas]													
6220	903857	Liquido pleural [examen fisico y citoquimico con recuento y morfologia de leucocitos. glucosa y ldh]													
6754	903856	Nitrogeno ureico [bun]													
6215	903855	Liquido cefalorraquideo [l.c.r.. examen fisico y citoquimico con glucosa. proteinas. morfologia de eritrocitos y diferencial de leucocitos]													
6213	903854	Liquido ascitico [examen fisico y citoquimico]													
6208	903853	Liquido amniotico [examen fisico y citoquimico: celulas anaranjadas. test de clemens. creatinina y fosfatidil glicerol]													
5248	903850	Hierro total													
4885	903849	Glucosa. test o sullivan													
6204	903847	Lipasa													
4883	903845	GLUCOSA TEST O’ SULLIVAN													
4884	903844	Glucosa. curva de tolerancia [cuatro muestras]													
4879	903843	Glucosa pre y post prandial													
4876	903842	Glucosa pre y post carga de glucosa													
4875	903841	Glucosa en suero. lcr u otro fluido diferente a orina													
4872	903840	Glucosa en orina													
4791	903839	Gases arteriales													
4774	903838	Gamma glutamil transferasa [ggt]													
4620	903836	Fosforo inorganico [fosfatos] en orina de 24 h													
4619	903835	Fosforo inorganico [fosfatos]													
4607	903834	Fosfatasa alcalina especifica de hueso													
4605	903833	Fosfatasa alcalina													
4604	903832	Fosfatasa acida. fraccion prostatica por eia/ria													
4603	903831	Fosfatasa acida. fraccion prostatica													
4600	903830	Fosfatasa acida													
2798	903829	Deshidrogenasa lactica. isoenzima													
2795	903828	DESHIDROGENASA LÁCTICA													
2511	903827	Cuerpos cetonicos o cetonas en sangre													
2510	903826	Cuerpos cetonicos o cetonas en orina													
2473	903825	Creatinina en suero. orina u otros													
2471	903824	Creatinina en orina de 24 h													
2468	903823	Creatinina depuracion													
2462	903822	Creatina													
2461	903821	Creatin quinasa total ck- cpk													
2460	903820	Creatin quinasa [fraccion mb] masa													
2459	903819	Creatin quinasa [fraccion mb]													
1830	903818	Colesterol total													
1824	903817	Colesterol de baja densidad [ldl] automatizado													
1825	903816	Colesterol de baja densidad semiautomatizado													
1823	903815	Colesterol de alta densidad [hdl]													
1757	903814	Cloro [cloruro] en orina de 24 h													
1756	903813	Cloro [cloruro]													
1378	903812	Capacidad de combinacion del hierro [tibc]													
1331	903811	Calcio en orina de 24 h													
1327	903810	Calcio													
1042	903809	Bilirrubinas total y directa													
279	903806	Amilasa en orina de 24 h													
277	903805	Amilasa													
230	903804	Albumina en orina de 24 h													
227	903803	Albumina													
85	903802	Acido urico en orina de 24 h													
86	903801	ÁCIDO ÚRICO EN SUERO U OTROS FLUIDOS													
10760	903708	Vitamina e [tocoferol]													
10757	903707	Vitamina d 1. 25 dihidroxi													
10758	903706	Vitamina d 25 dihidroxi													
10755	903705	Vitamina b 6													
10754	903704	Vitamina b 2													
10752	903703	Vitamina b 12													
10751	903702	Vitamina b 1													
10750	903701	Vitamina a [retinol]													
10798	903609	Zinc en orina de 24h													
10797	903608	Zinc													
5875	903606	Iontoforesis [cloro]													
5873	903605	Ionograma [cloro. sodio. potasio y bicarbonato]													
306	903602	Amonio													
6224	903504	Liquido sinovial [examen fisico y citoquimico con glucosa. proteinas. factor r.a.. complemento. test de mucina y analisis con luz polarizada]													
6217	903503	Liquido pericardico [examen fisico y citoquimico con densidad y proteinas]													
6212	903502	Liquido amniotico. indice de madurez fetal pulmonar [lecitina-esfingomielina o sulfactante/albumina. fosfatidil glicerol. recuento de celulas lamelares o espectofotmetria 650 nm]													
6211	903501	Liquido amniotico. curva espectral o de liley													
10414	903437	TROPONINA I CUANTITATIVA													
10417	903434	Troponina t. cuantitativa													
10416	903433	Troponina t. cualitativa													
7530	903428	Protoporfirina zinc eritrocitaria [zpp]													
5091	903427	HEMOGLOBINA GLICOSILADA MANUAL O SEMIAUTOMATIZADA													
5089	903426	Hemoglobina glicosilada automatizada													
5902	903425	Isocitrato deshidrogenasa [icdh]													
5116	903424	Hemosiderina en orina													
2561	903423	D- xilosa. prueba de absorcion													
5092	903422	Hemoglobina glicosilada por anticuerpos monoclonales													
4659	903421	Fructosamina													
2793	903420	Deshidrogenasa hidroxibutirica [hbdh]													
3183	903419	D-xilosa. prueba de absorcion													
2183	903418	Coproporfirinas en orina de 24 h por cromatografia													
2182	903417	Coproporfirinas en orina de 24 h													
