id	cups	procedimiento								D	D				D
9363	S41202	Servicios profesionales anestesiologo grupo quirurgico 03								11505	#N/A				11505
9362	S41201	Servicios profesionales anestesiologo grupo quirurgico 02								11497	#N/A				11497
9405	S41116	Servicios profesionales medico cirujano o ginecoobstetra grupo quirurgico 23								11483	#N/A				11483
9404	S41115	Servicios profesionales medico cirujano o ginecoobstetra grupo quirurgico 22								11466	#N/A				11466
9403	S41114	Servicios profesionales medico cirujano o ginecoobstetra grupo quirurgico 21								11461	5286				11461
9402	S41113	Servicios profesionales medico cirujano o ginecoobstetra grupo quirurgico 20								11452	#N/A				11452
9401	S41112	Servicios profesionales medico cirujano o ginecoobstetra grupo quirurgico 13								11451	#N/A				11451
9400	S41111	Servicios profesionales medico cirujano o ginecoobstetra grupo quirurgico 12								11434	#N/A				11434
9399	S41110	Servicios profesionales medico cirujano o ginecoobstetra grupo quirurgico 11								11432	#N/A				11432
9398	S41109	Servicios profesionales medico cirujano o ginecoobstetra grupo quirurgico 10								11431	#N/A				11431
9397	S41108	Servicios profesionales medico cirujano o ginecoobstetra grupo quirurgico 09								11428	#N/A				11428
9396	S41107	Servicios profesionales medico cirujano o ginecoobstetra grupo quirurgico 08								11426	#N/A				11426
9395	S41106	Servicios profesionales medico cirujano o ginecoobstetra grupo quirurgico 07								11417	#N/A				11417
9394	S41105	Servicios profesionales medico cirujano o ginecoobstetra grupo quirurgico 06								11412	4176				11412
9393	S41104	Servicios profesionales medico cirujano o ginecoobstetra grupo quirurgico 05								11410	6520				11410
9392	S41103	Servicios profesionales medico cirujano o ginecoobstetra grupo quirurgico 04								11408	#N/A				11408
9391	S41102	Servicios profesionales medico cirujano o ginecoobstetra grupo quirurgico 03								11406	#N/A				11406
9390	S41101	Servicios profesionales medico cirujano o ginecoobstetra grupo quirurgico 02								11402	10233				11402
9361	S34000	Servicio prehospitalario y apoyo terapeutico en unidades moviles ncoc								11376	#N/A				11376
10293	S33302	Traslado terrestre medicalizado de pacientes redondo								11368	#N/A				11368
10288	S33301	Traslado terrestre medicalizado de pacientes simple								11367	#N/A				11367
10285	S32302	Traslado terrestre intermedio de pacientes redondo								11366	#N/A				11366
10286	S32301	Traslado terrestre intermedio de pacientes simple								11361	#N/A				11361
10274	S31302	Traslado terrestre basico de pacientes redondo								11358	#N/A				11358
10273	S31301	Traslado terrestre basico de pacientes primario								11357	#N/A				11357
9204	S23016	Sala de cirugia (quirofanos) grupo quirurgico 23								11353	#N/A				11353
9203	S23015	Sala de cirugia (quirofanos) grupo quirurgico 22								11350	#N/A				11350
9202	S23014	Sala de cirugia (quirofanos) grupo quirurgico 21								11347	#N/A				11347
9201	S23013	Sala de cirugia (quirofanos) grupo quirurgico 20								11345	#N/A				11345
9200	S23012	Sala de cirugia (quirofanos) grupo quirurgico 13								11344	#N/A				11344
9199	S23011	Sala de cirugia (quirofanos) grupo quirurgico 12								11338	#N/A				11338
9198	S23010	Sala de cirugia (quirofanos) grupo quirurgico 11								11330	#N/A				11330
9197	S23009	Sala de cirugia (quirofanos) grupo quirurgico 10								11323	#N/A				11323
9196	S23008	Sala de cirugia (quirofanos) grupo quirurgico 09								11322	#N/A				11322
9195	S23007	Sala de cirugia (quirofanos) grupo quirurgico 08								11321	#N/A				11321
9194	S23006	Sala de cirugia (quirofanos) grupo quirurgico 07								11320	#N/A				11320
9193	S23005	Sala de cirugia (quirofanos) grupo quirurgico 06								11311	#N/A				11311
9192	S23004	Sala de cirugia (quirofanos) grupo quirurgico 05								11306	#N/A				11306
9191	S23003	Sala de cirugia (quirofanos) grupo quirurgico 04								11304	1199				11304
9190	S23002	Sala de cirugia (quirofanos) grupo quirurgico 03								11302	1050				11302
9189	S23001	Sala de cirugia (quirofanos) grupo quirurgico 02								11292	#N/A				11292
9206	S22224	Sala de endoscopia								11290	#N/A				11290
9205	S22223	Sala de dialisis peritoneal								11285	#N/A				11285
9208	S22221	Sala de hemodinamia   ( ver paragrafo 8)								11283	#N/A				11283
9207	S22220	Sala de hemodialisis								11280	#N/A				11280
9232	S22216	Sala de procedimientos especial grupo quirurgico 23								11276	#N/A				11276
9231	S22215	Sala de procedimientos especial grupo quirurgico 22								11275	#N/A				11275
9230	S22214	Sala de procedimientos especial grupo quirurgico 21								11248	#N/A				11248
9229	S22213	Sala de procedimientos especial grupo quirurgico 20								11247	#N/A				11247
9228	S22212	Sala de procedimientos especial grupo quirurgico 13								11245	#N/A				11245
9227	S22211	Sala de procedimientos especial grupo quirurgico 12								11222	9265				11222
9226	S22210	Sala de procedimientos especial grupo quirurgico 11								11196	#N/A				11196
9225	S22209	Sala de procedimientos especial grupo quirurgico 10								11130	6872				11130
9223	S22208	Sala de procedimientos especial grupo quirurgico 08								11105	#N/A				11105
9224	S22207	Sala de procedimientos especial grupo quirurgico 09								11069	#N/A				11069
9222	S22206	Sala de procedimientos especial grupo quirurgico 07								11068	#N/A				11068
9221	S22205	Sala de procedimientos especial grupo quirurgico 06								11064	#N/A				11064
9220	S22204	Sala de procedimientos especial grupo quirurgico 05								11061	#N/A				11061
9219	S22203	Sala de procedimientos especial grupo quirurgico 04								11051	#N/A				11051
9218	S22202	Sala de procedimientos especial grupo quirurgico 03								11050	#N/A				11050
9217	S22201	Sala de procedimientos especial grupo quirurgico 02								11048	#N/A				11048
9234	S22200	Sala de procedimientos especial ncoc								11047	#N/A				11047
9235	S22103	Sala de yesos								11044	#N/A				11044
9215	S22102	Sala de pequena cirugia (suturas)								11043	#N/A				11043
2618	S22101	Derechos de sala de curaciones o procedimientos								11041	#N/A				11041
9233	S22100	Sala de procedimientos basica sod								11040	#N/A				11040
9213	S21200	Sala de parto de complejidad mediana sod								11039	#N/A				11039
9214	S21100	Sala de parto de complejidad baja sod								11015	#N/A				11015
9236	S20201	Sala en observacion en servicio de complejidad alta sod								11009	#N/A				11009
9238	S20101	Sala en observacion en servicio de complejidad mediana sod								11008	#N/A				11008
9237	S20001	Sala en observacion en servicio de complejidad baja sod								11006	10271				11006
5826	S12801	Internacion parcial en hospital (hospital dia) icomplejidad alta								10984	#N/A				10984
5825	S12800	Internacion parcial en hospital (hospital dia) complejidad mediana								10975	#N/A				10975
5792	S12718	Internacion en salud mental especial habitacion de cuatro o mas camas complejidad alta								10961	#N/A				10961
5793	S12717	Internacion en salud mental especial habitacion de tres camas complejidad alta								10960	#N/A				10960
5791	S12716	Internacion en salud mental especial habitacion bipersonal complejidad alta								10954	#N/A				10954
5794	S12715	Internacion en salud mental especial habitacion unipersonal complejidad alta								10938	#N/A				10938
5798	S12713	Internacion en salud mental general habitacion de cuatro o mas camas complejidad mediana								10937	#N/A				10937
5800	S12712	Internacion en salud mental general habitacion de tres camas complejidad mediana								10862	#N/A				10862
5796	S12711	Internacion en salud mental general habitacion bipersonalcomplejidad mediana								10860	#N/A				10860
5802	S12710	Internacion en salud mental general habitacion unipersonal complejidad mediana								10842	#N/A				10842
5797	S12704	Internacion en salud mental general habitacion de cuatro o mas camas complejidad baja								10819	#N/A				10819
5799	S12703	Internacion en salud mental general habitacion de tres camas complejidad baja								10724	#N/A				10724
5795	S12702	Internacion en salud mental general habitacion bipersonalcomplejidad baja								10720	#N/A				10720
5801	S12701	Internacion en salud mental general habitacion unipersonal complejidad baja								10718	#N/A				10718
5815	S12600	Internacion en unidad de aislamiento sod								10716	#N/A				10716
5817	S12500	Internacion en unidad de cuidado paliativo sod								10715	#N/A				10715
5818	S124002	Internacion en unidad de cuidados basicos neonatales (incubadora) complejidad baja								10714	#N/A				10714
5822	S12203	Internacion en unidad de cuidados intermedios adulto								10713	#N/A				10713
5824	S12202	Internacion en unidad de cuidados intermedios pediatricos								10712	#N/A				10712
5823	S12201	Internacion en unidad de cuidados intermedios neonatales								10710	#N/A				10710
5819	S12103	Internacion en unidad de cuidados intensivos adulto								10709	#N/A				10709
5821	S12102	Internacion en unidad de cuidados intensivos pediatrica								10708	#N/A				10708
5820	S12101	Internacion en unidad de cuidados intensivos neonatal								10700	#N/A				10700
5812	S11304	Internacion en servicio de complejidad alta. habitacion de cuatro camas o mas								10699	#N/A				10699
5813	S11303	Internacion en servicio de complejidad alta. habitacion tres camas								10698	#N/A				10698
5811	S11302	Internacion en servicio de complejidad alta. habitacion bipersonal								10697	#N/A				10697
5814	S11301	Internacion en servicio de complejidad alta. habitacion unipersonal								10696	#N/A				10696
5808	S11204	Internacion en servicio complejidad mediana. habitacion de cuatro camas o mas								10695	#N/A				10695
5809	S11203	Internacion en servicio complejidad mediana. habitacion tres camas								10693	#N/A				10693
5807	S11202	Internacion en servicio complejidad mediana. habitacion bipersonal								10692	#N/A				10692
5810	S11201	Internacion en servicio complejidad mediana. habitacion unipersonal								10691	#N/A				10691
5804	S11104	Internacion en servicio complejidad baja habitacion de cuatro camas								10690	#N/A				10690
5805	S11103	Internacion en servicio complejidad baja habitacion tres camas								10686	#N/A				10686
5803	S11102	Internacion en servicio complejidad baja habitacion bipersonal								10680	#N/A				10680
5806	S11101	Internacion en servicio complejidad baja habitacion unipersonal								10677	#N/A				10677
5234	S03CA0101	HIDROCORTISONA Y ANTIINFECCIOSOS								10674	#N/A				10674
6659	S03AA07	NEOMICINA + COLISTINA +HIDROCORTISONA(FIXAMICIN)5MG+0.5MG+1.538MG/ML								10673	#N/A				10673
4839	S02DC99	GLICERINA CARBONATADA								10671	#N/A				10671
1419	S01XA20	CARBOXIMETILCELULOSA								10670	#N/A				10670
7535	S01HA04	PROXIMETACAINA SOLUCION OFT								10668	#N/A				10668
6849	S01GX09	OLOPATADINA 0.2%								10665	#N/A				10665
2493	S01GX0102	CROMOGLICATO DE SODIO								10661	#N/A				10661
2494	S01GX0101	CROMOGLICATO DE SODIO 2 %								10659	#N/A				10659
7410	S01GA55	PREDNISOLONA +FENILEFRINA -SOLUCION OFT								10657	#N/A				10657
967	S01FA0101	ATROPINA								10651	#N/A				10651
1043	S01EE03	BIMATOPROST								10650	#N/A				10650
5995	S01EE01	LATANOPROST 0.005%								10649	#N/A				10649
2979	S01ED51	DORZOLAMIDA/TIMOLOL/ TARTRATO DE BRIMONIDINA								10647	#N/A				10647
9961	S01ED0102	TIMOLOL								10646	#N/A				10646
7256	S01EB01	PILOCARPINA (ISOPTOCARPINA)								10644	#N/A				10644
1284	S01EA05	BRIMONIDINA								10643	#N/A				10643
