cups,procedimiento
982701,EXTRACCION SIN INCISION DE CUERPO EXTRANO EN BRAZO Y ANTEBRAZO
982801,EXTRACCION SIN INCISION DE CUERPO EXTRANO EN PIE
982901,EXTRACCION SIN INCISION DE CUERPO EXTRANO EN MIEMBRO INFERIOR SALVO PIE
990101,"""EDUCACION GRUPAL EN SALUD"
990103,"""EDUCACION GRUPAL EN SALUD"
990104,"""EDUCACION GRUPAL EN SALUD"
990105,"""EDUCACION GRUPAL EN SALUD"
990106,"""EDUCACION GRUPAL EN SALUD"
990107,"""EDUCACION GRUPAL EN SALUD"
990108,"""EDUCACION GRUPAL EN SALUD"
990111,"""EDUCACION GRUPAL EN SALUD"
990112,"""EDUCACION GRUPAL EN SALUD"
990113,"""EDUCACION GRUPAL EN SALUD"
990201,"""EDUCACION INDIVIDUAL EN SALUD"
990203,"""EDUCACION INDIVIDUAL EN SALUD"
990204,"""EDUCACION INDIVIDUAL EN SALUD"
990205,"""EDUCACION INDIVIDUAL EN SALUD"
990206,"""EDUCACION INDIVIDUAL EN SALUD"
990207,"""EDUCACION INDIVIDUAL EN SALUD"
990211,CONSEJERIA EN VIH
990212,"""EDUCACION INDIVIDUAL EN SALUD"
991402,APLICACION INMUNOGLOBULINA ANTIRRABICA
991403,APLICACION INMUNOGLOBULINA ANTITETANICA
991601,INYECCION DE ANTIDOTO
991801,INFUSION O ADMINISTRACION DE SOLUCIONES DE LIQUIDOS Y ELECTROLITOS
992102,INYECCION O INFUSION DE ANTIBIOTICO
992201,INYECCION O INFUSION DE SUSTANCIA HORMONAL
992990,INYECCION O INFUSION DE OTRA SUSTANCIA TERAPEUTICA O PROFILACTICA
993102,VACUNACION CONTRA TUBERCULOSIS [BCG]
993103,VACUNACION CONTRA MENINGOCOCO (AC O BC)
993104,VACUNACION CONTRA HAEMOPHILUS INFLUENZA TIPO B
993105,ADMINISTRACION DE TOXOIDE DIFTERICO
993106,VACUNACION CONTRA NEUMOCOCO
993107,ADMINISTRACION DE TOXOIDE DE TETANOS
993120,VACUNACION COMBINADA CONTRA TETANOS Y DIFTERIA [TD]
993122,"""VACUNACION COMBINADA CONTRA DIFTERIA"
993130,"""VACUNACION COMBINADA CONTRA HAEMOPHILUS INFLUENZA TIPO B"
993501,VACUNACION CONTRA POLIOMIELITIS (VOP O IVP)
993502,VACUNACION CONTRA HEPATITIS A
993503,VACUNACION CONTRA HEPATITIS B
993504,VACUNACION CONTRA FIEBRE AMARILLA
993505,VACUNACION CONTRA RABIA
993506,VACUNACION CONTRA SARAMPION
993507,VACUNACION CONTRA PAROTIDITIS
993508,VACUNACION CONTRA RUBEOLA
993509,VACUNACION CONTRA VARICELA
993510,VACUNACION CONTRA INFLUENZA
993512,VACUNACION CONTRA ROTAVIRUS
993513,VACUNACION CONTRA VIRUS PAPILOMA HUMANO [VPH]
993520,VACUNACION COMBINADA CONTRA SARAMPION Y RUBEOLA [SR] (DOBLE VIRAL)
993522,"""VACUNACION COMBINADA CONTRA SARAMPION"
994101,ADMINISTRACION DE ANTITOXINA TETANICA
994301,ADMINISTRACION DE ANTITOXINA DIFTERICA
995201,OTRA VACUNACION DEL PROGRAMA AMPLIADO DE INMUNIZACIONES
995202,ADMINISTRACION VACUNA SARS COV 2 [ COVID-19 ]
997002,CONTROL DE PLACA DENTAL
997103,TOPICACION DE FLUOR EN GEL
997105,APLICACION DE RESINA PREVENTIVA
997106,TOPICACION DE FLUOR EN BARNIZ
997107,APLICACION DE SELLANTES
997301,DETARTRAJE SUPRAGINGIVAL
1906317,HEPATITIS B. ANTIGENO DE SUPERFICIE (PRUEBA RAPIDA)
9062081,DENGUE - ANTICUERPOS [ IG G - IG M ] - PRUEBA RAPIDA
9062082,DENGUE DUO (DENGUE NS1 AG + IGG/IGM) PRUEBA RAPIDA
082101,RESECCION DE CHALAZION VIA ANTERIOR
082102,RESECCION DE CHALAZION VIA POSTERIOR
088201,SUTURA SUPERFICIAL DE HERIDA UNICA DE PARPADO
088202,SUTURA SUPERFICIAL DE HERIDA MULTIPLE DE PARPADO
129B01,INTERNACION ADULTOS COMPLEJIDAD BAJA HABITACION INDIVIDUAL (INCLUYE AISLAMIENTO)
129B02,INTERNACION ADULTOS COMPLEJIDAD BAJA HABITACION MULTIPLE
5DS002,DERECHOS DE SALA DE CURACIONES O PROCEDIMIENTOS
5DS003,DERECHOS DE SALA DE PEQUENA CIRUGIA (SUTURAS)
5DS004,DERECHOS DE SALA DE YESOS
5DSB01,DERECHOS DE SALA DE OBSERVACION EN URGENCIAS COMPLEJIDAD BAJA
601T01,TRASLADO ASISTENCIAL BASICO TERRESTRE PRIMARIO
601T02,TRASLADO ASISTENCIAL BASICO TERRESTRE SECUNDARIO
906249PR,COLORACION GRAM Y LECTURA PARA CUALQUIER MUESTRA. -- INCY : SECRECION VAGINAL - URETRAL O RECTAL
90DS02,DERECHOS DE SALA DE PARTO COMPLEJIDAD BAJA
P0000002,CONSEJERIA EN VIH
P0000003,DEMANDA INDUCIDA CANALIZADOS ALTERACIONES DE LA EMBARAZADA
P0000008,DEMANDA INDUCIDA CANALIZADOS CANCER DE SENO
P0000009,DEMANDA INDUCIDA CANALIZADOS CRECIMIENTO Y DESARROLLO
P0000010,DEMANDA INDUCIDA CANALIZADOS PLANIFICACION FAMILIAR
P0000011,DEMANDA INDUCIDA CANALIZADOS SALUD BUCAL
P0000012,DEMANDA INDUCIDA CANALIZADOS TOMA DE CITOLOGIA
P0000013,DEMANDA INDUCIDA CANALIZADOS VACUNACION PAI
P0000014,DEMANDA INDUCIDA CANALIZADOS VALORACION DEL JOVEN
P0000081,TOMA DE MUESTRA VIH 1 Y 2 - ANTICUERPOS
P0000221,CONSULTA PRIORITARIA - MEDICINA GENERAL
P0000288,TOMA DE MUESTRA - HEPATITIS B - ANTIGENO DE SUPERFICIE [AG HBS]
P0000775,VIH - PRUEBA RAPIDA
P0000776,HEPATITIS B - PRUEBA RAPIDA
P0000777,DENGUE - ANTICUERPOS [ IG G - IG M ] - PRUEBA RAPIDA
P0000778,SALA EDA ( ENFERMEDAD DIARREICA AGUDA )
P0000779,SALA IRA ( INFECCION RESPIRATORIA AGUDA )
P0001244,TOMA DE MUESTRA CULTIVO ESPECIALES PARA OTROS MICROORGANISMOS
P0001245,TOMA DE MUESTRA GONADOTROPINA CORIONICA - SUBUNIDAD BETA CUALITATIVA - [BHCG] PRUEBA DE EMBARAZO EN ORINA O SUERO
P0001246,TOMA DE MUESTRA QUIMICA SANGUINEA
P0001619,CONSULTA DE PRIMERA VEZ - MEDICINA GENERAL POR TELECONSULTA
P0001620,CONSULTA DE CONTROL O DE SEGUIMIENTO - MEDICINA GENERAL POR TELECONSULTA
P0001621,SUTURA DE HERIDA UNICA - EN AREA GENERAL
P0001852,ATENCION ( VISITA ) DOMICILIARIA - POR MEDICINA GENERAL - EXPEDICION CERTIFICADO DEFUNCION
P0001853,TRANSPORTE DE CUALQUIER MUESTRA ( EVENTOS INTERES EN SALUD PUBLICA )
T0000709,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ENFERMERIA
T0000710,EXTRACCION DE DISPOSITIVO ANTICONCEPTIVO INTRAUTERINO ( DIU )
T0000711,INSERCION DE DISPOSITIVO INTRAUTERINO ANTICONCEPTIVO [ DIU ]
T0000712,EXTRACCION DE ANTICONCEPTIVOS SUBDERMICOS POR INCISION
T0001388,ATENCION ( VISITA ) DOMICILIARIA - POR MEDICINA GENERAL
T0001630,TRANSPORTE TERRESTRE DOMICILIARIO DE MEDICAMENTOS - SIMPLE - ZONA URBANA
T0001634,TRANSPORTE TERRESTRE DOMICILIARIO DE MEDICAMENTOS - SIMPLE - ZONA RURAL
10000,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A MOCOA (MEDICO).
10003,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A POPAYAN (MEDICO)
10200,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A COLON (MEDICO).
12333,ENEMA O IRRIGACION TRANSANAL
25142,AFINAMIENTO PRESION ARTERIAL SISTEMICA
38700,TRASLADO ASISTENCIAL BASICO TERRESTRE PRIMARIO URBANO + MEDICO
39601,TRASLADO ASISTENCIAL BASICO TERRESTRE PRIMARIO URBANO + MEDICO
40500,TRASLADO ASISTENCIAL BASICO TERRESTRE PRIMARIO RURAL + MEDICO
42300,TRASLADO ASISTENCIAL BASICO TERRESTRE PRIMARIO RURAL + MEDICO
70000,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A PASTO (MEDICO).
70003,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A PITALITO- HUILA (MEDICO ).
80000,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A NEIVA (MEDICO).
110001,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - PUERTO ASIS (MEDICO).
110006,TRASBADO BASICO A LAGO AGRIO CON AUXILIAR + MEDICO
110018,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - VALLE DEL GUAMUEZ (MEDICO).
231100,EXODONCIA QUIRURGICA UNIRRADICULAR SOD
231200,EXODONCIA QUIRURGICA MULTIRRADICULAR SOD
231301,EXODONCIA DE INCLUIDO EN POSICION ECTOPICA CON ABORDAJE INTRAORAL +
231302,EXODONCIA DE INCLUIDO EN POSICION ECTOPICA CON ABORDAJE EXTRAORAL +
231303,EXODONCIA DE DIENTE INCLUIDO
231400,EXODONCIAS MULTIPLES CON ALVEOLOPLASTIA. POR CUADRANTE SOD
232104,OBTURACION DENTAL
232200,OBTURACION TEMPORAL POR DIENTE SOD
235100,REIMPLANTE DE DIENTE SOD
237101,PULPOTOMIA CON PULPECTOMIA +
240200,DETARTRAJE SUBGINGIVAL SOD +
240300,"""ALISADO RADICULAR"
240400,DRENAJE DE COLECCION PERIODONTAL (CERRADO CON ALISADO RADICULAR) SOD+
244109,RESECCION DE LESION ODONTOGENICA SOD
249100,CONTROL DE HEMORRAGIA DENTAL POS QUIRURGICA SOD +
869500,CURACION DE LESION EN PIEL O TEJIDO CELULAR SUBCUTANEO SOD +
870004,RADIOGRAFIA DE SILLA TURCA
870006,RADIOGRAFIA DE PENASCOS
870007,RADIOGRAFIA DE CONDUCTO AUDITIVO INTERNO
870103,RADIOGRAFIA DE AGUJEROS OPTICOS
870104,RADIOGRAFIA DE MALAR
870114,RADIOGRAFIA PANORAMICA DE MAXILARES. SUPERIOR E INFERIOR (ORTOPANTOMOGRAFIA)
870603,RADIOGRAFIA DE FARINGE [FARINGOGRAFIA] +
871070,RADIOGRAFIA DINAMICA DE COLUMNA VERTEBRAL
873311,RADIOGRAFIA DE ANTEVERSION FEMORAL
895005,MONITOREO AMBULATORIO DE PRESION ARTERIAL CENTRAL
898302,AUTOPSIA [NECROPSIA] PARCIAL (VICEROTOMIA)
901306,EXAMEN DIRECTO PARA HONGOS CON CALCOFLUOR§
901323,MYCOBACTERIUM LEPRAE PRUEBA DE VIABILIDAD
901324,FILARIA EXAMEN DIRECTO
902042,TIEMPO ACTIVADO DE COAGULACION
902043,TIEMPO DE COAGULACION
902205,ERITROSEDIMENTACION [VELOCIDAD SEDIMENTACION GLOBULAR - VSG] AUTOMATIZADA §
903436,"""TROPONINA I"
903437,"""TROPONINA I"
903438,TROPONINA T. CUALITATIVA
903439,TROPONINA T. CUANTITATIVA +
903825,CREATININA EN ORINA PARCIAL
903836,FOSFORO EN ORINA DE 24 HORAS
903860,POTASIO EN ORINA DE 24 H *+
903865,SODIO EN ORINA DE 24 HORAS *+
906040,TREPONEMA PALLIDUM ANTICUERPOS IG G SEMIAUTOMATIZADO O AUTOMATIZADO
906041,TREPONEMA PALLIDUM ANTICUERPOS IG M SEMIAUTOMATIZADO O AUTOMATIZADO
906219,HEPATITIS A ANTICUERPOS TOTALES SEMIAUTOMATIZADO O AUTOMATIZADO
906234,INFLUENZA TIPO A ANTICUERPOS IG G
906611,ANTIGENO ESPECIFICO DE PROSTATA FRACCION LIBRE SEMIAUTOMATIZADO O AUTOMATIZADO
906916,SIFILIS SEROLOGIA PRESUNTIVA (CARDIOLIPINA O VDRL)
908436,DETECCION VIRUS DEL PAPILOMA HUMANO PRUEBAS DE ADN
908873,MYCOBACTERIUM TUBERCULOSIS IDENTIFICACION POR PRUEBAS MOLECULARES (ESPECIFICO)
908885,MYCOBACTERIUM TUBERCULOSIS PRUEBAS DE SENSIBILIDAD POR PRUEBAS MOLECULARES (ESPECIFICO)
933700,"""ENTRENAMIENTO PRE"
935000,"""INMOVILIZACION"
970100,SUSTITUCION DE TUBO (SONDA) NASOGASTRICO O DE ESOFAGOSTOMIA SOD
970200,SUSTITUCION DE TUBO (SONDA) DE GASTROSTOMIA SOD
972200,SUSTITUCION DE TAPON DENTAL SOD
977100,EXTRACCION DE DISPOSITIVO ANTICONCEPTIVO INTRAUTERINO (DIU) SOD
978801,EXTRACCION NO QUIRURGICA DE DISPOSITIVO DE INMOVILIZACION EXTERN
990213,"""EDUCACION INDIVIDUAL EN SALUD"
990221,"""EDUCACION INDIVIDUAL EN SALUD"
990222,"""EDUCACION INDIVIDUAL EN SALUD"
990223,"""EDUCACION INDIVIDUAL EN SALUD"
990224,"""EDUCACION INDIVIDUAL EN SALUD"
991800,SALA EDA ( ENFERMEDAD DIARREICA AGUDA )
992901,INYECCION DE VITAMINA K
993123,"""VACUNACION COMBINADA CONTRA HAEMOPHILUS INFLUENZA TIPO B"
993124,"""VACUNACION COMBINADA CONTRA DIFTERIA"
993125,"""VACUNACION COMBINADA CONTRA DIFTERIA"
993131,VACUNACION COMBINADA CONTRA HAEMOPHILUS INFLUENZA TIPO B. DIFTERIA. TETANOS. TOS FERINA Y POLIOMELITIS IVP (PENTAVALENTE) +
993521,VACUNACION COMBINADA CONTRA HEPATITIS A Y HEPATITIS B
994100,ADMINISTRACION DE ANTITOXINA TETANICA SOD
997101,APLICACION DE SELLANTES DE AUTOCURADO
997102,APLICACION DE SELLANTES DE FOTOCURADO
997104,TOPICACION DE FLUOR EN SOLUCION
997310,CONTROL DE PLACA DENTAL
9310011,TERAPIA FISICA INTEGRAL. -- INCY : ACTIVIDADES PROPIAS A EJECUTAR EN LOS COMPONENTES SENSORIOMOTORES DEL DESEMPEA‘O - EJERCICIOS TERAPEUTICOS - ESTIMULACION - MECANOTERAPIA - MEDIOS FISICOS ( HIDROTERAPIA - CRIOTERAPIA - CALOR HUMEDO ) - ELECTROTERAPIA
91010816,PRESERVATIVOS (UND)
91011354,DISPRO_PRO_POSITIVO INTRAUTERINO T DE COBRE (UND)
10000AUX,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A MOCOA (AUXILIAR).
10003AUX,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A POPAYAN (AUXILIAR)
10200AUX,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A COLON (AUXILIAR).
110001AUX,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - PUERTO ASIS (AUXILIAR).
110006AUX,TRASBADO BASICO A LAGO AGRIO CON AUXILIAR
110018AUX,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - VALLE DEL GUAMUEZ (AUXILIAR).
38700AUX,TRASLADO ASISTENCIAL BASICO TERRESTRE PRIMARIO URBANO + AUXILIAR
39601AUX,TRASLADO ASISTENCIAL BASICO TERRESTRE PRIMARIO URBANO + AUXILIAR
40500AUX,TRASLADO ASISTENCIAL BASICO TERRESTRE PRIMARIO RURAL + AUXILIAR
42300AUX,TRASLADO ASISTENCIAL BASICO TERRESTRE PRIMARIO RURAL + AUXILIAR
601T02FLOREN,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - FLORENCIA (MEDICO).
601T02FLORENAUX,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - FLORENCIA (AUXILIAR).
70000AUX,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A PASTO (AUXILIAR).
70003AUX,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A PITALITO- HUILA ( AUXILIAR).
80000AUX,TRASLADO TERRESTRE BASICO DE PACIENTES - SECUNDARIO - A NEIVA (AUXILIAR).
890101UR,"""ATENCION (VISITA URBANA) DOMICILIARIA"
890103UR,"""ATENCION (VISITA URBANA) DOMICILIARIA"
890105UR,"""ATENCION (VISITA URBANA) DOMICILIARIA"
890108UR,"""ATENCION (VISITA URBANA) DOMICILIARIA"
890111UR,"""ATENCION (VISITA URBANA) DOMICILIARIA"
890201-ADULTO,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL DE ADULTO MAYOR
890201-CYD,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL CYD
890201-HOMBRES,CONSULTA DE PRIMERA VEZ POR MEDICO A HOMBRES
890201-JOVEN,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL DE JOVEN
890201-MUJERES,CONSULTA DE PRIMERA VEZ POR MEDICO A MUJERES
890201-PYP,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL
890203-PYP,CONSULTA DE PRIMERA VEZ POR ODONTOLOGIA GENERAL(5315)
890301-CPN,CONSULTA DE CONTROL O DE SEGUIMIENTO POR MEDICINA GENERAL DE CPN
890301-MUJERES,CONSULTA DE CONTROL POR MEDICO A MUJERES
890303REMISION,""
890305-CPN,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ENFERMERIA DE CPN
890305-MUJERES,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ENFERMERIA A MUJERES
890305-PYP,CONSULTA DE CONTROL POR MEDICO O ENFEMERA
890601AH,CUIDADO (MANEJO) INTRAHOSPITALARIO POR MEDICINA GENERAL
890601H,DERECHOS DE SALA DE PEQUEAA CIRUGIA ( SUTURAS )
896102,MONITOREO DE PRESION ARTERIAL SISTEMICA (TELEMETRIA)
901107-PYP,COLORACION GRAM Y LECTURA PARA CUALQUIER MUESTRA *+(5691)
901235-PYP,UROCULTIVO [ANTIBIOGRAMA DE DISCO]+(5734)
902207-PYP,HEMOGRAMA I (HEMOGLOBINA HEMATOCRITO Y LEUCOGRAMA) MANUAL(34821)
902214-PYP,HEMOPARASITOS. EXTENDIDO DE GOTA GRUESA *+(5858)
903815-PYP,COLESTEROL DE ALTA DENSIDAD [HDL](6037)
903816-PYP,COLESTEROL DE BAJA DENSIDAD SEMIAUTOMATIZADO(6038)
903818-PYP,COLESTEROL TOTAL(6040)
903841-PYP,GLUCOSA EN SUERO. LCR U OTRO FLUIDO DIFERENTE A ORINA(6064)
903868-PYP,TRIGLICERIDOS +(6091)
903876-PYP,CREATININA EN ORINA PARCIAL(29843)
906249-PYP,VIRUS DE INMUNODEFICIENCIA HUMANA 1 Y 2 ANTICUERPOS(35057)
906915-PYP,PRUEBA NO TREPONEMICA MANUAL(35179)
907106-PYP,UROANALISIS(35182)
911015-PYP,HEMOCLASIFICACION SISTEMA RH [ANTIGENO RH D] POR MICROTECNICA(31683)
950601-AV,MEDICION DE AGUDEZA VISUAL(31712)-AGUDEZA
950601-SP,MEDICION DE AGUDEZA VISUAL(31712)-SALUD PUBLICA
993509-SP,VACUNACION CONTRA VARICELA(11201)-SALUD PUBLICA
993509-V,VACUNACION CONTRA VARICELA(11201)-CONTRA VARICELA
E906845,RUBEOLA ANTICUERPOS IG G AUTOMATIZADO
