id,cups,procedimiento,ide
8915,11113,Reseccion quiste o tumor de ovario y biopsia contralateral,2364
10310,1112,Tratamiento de malformaciones arterio venosas de linea media e intraventricular,2365
6864,11120,Ooforectomia,2366
3031,111200,Drenaje de absceso en cornea ncoc,5603
9264,11121,Salpingooforectomia,2367
577,1113,Apertura de seno cavernoso por fistula o aneurisma,2368
6872,11130,Ooforopexia,2369
6876,11131,Ooforoplastia,2370
6877,11132,Oofororrafia,2371
9099,1114,Revascularizacion supratentorial e infratentorial,2372
6079,11140,Liberacion adherencias de ovario (ovariolisis con microcirugia),2373
3417,1116,Endarterectomia de vaso de cuello,2385
3396,1117,Embolizacion para cateterismo de arterias intracraneanas,2386
451,1118,Angioplastia intraluminar,2387
2441,1120,Craneotomia para extirpacion adenomas hipofisiarios,2237
1145,11201,Biopsia de meninge. por craneotomia,5204
2442,1121,Craneotomia para extirpacion adenomas hipofisiarios (via transesfenoidal),2239
9259,11210,Salpingohisterostomia,2240
4654,112100,Frotis de cornea para cultivo sod,5604
9266,11211,Salpingooforostomia,2241
9277,11212,Salpingostomia y anastomosis trompa de falopio (microcirugia),2242
9278,11213,Salpingostomia y drenaje trompa de falopio,2243
2446,1122,Craneotomia para reseccion de craneofaringioma,2244
9272,11220,Salpingoplastia,2245
1115,112200,Biopsia de cornea sod,5605
9273,11221,Salpingorrafia,2246
9265,11222,Salpingooforoplastia (operacion de estes),2247
2440,1123,Craneotomia para drenaje y extraccion de tumores intraventriculares (incluye: quiste coloide del tercer ventriculo),2248
5238,11230,Hidrotubacion trompa de falopio,2249
5750,11231,Insuflacion trompa de falopio,2250
2119,112333,Consulta prioritaria,11273
2445,1124,Craneotomia para pinealectomia,2251
8784,11240,Reseccion de tumor trompa de falopio,2252
8535,11241,Reseccion adherencia trompa de falopio (salpingolisis con microcirugia),2253
9312,11242,Seccion y/o ligadura de trompa de falopio (pomeroy),2254
2447,1125,Craneotomia para reseccion de tumores de fosa anterior,2255
9344,11254,Semaglutida solucion inyectable,11433
2448,1126,Craneotomia para reseccion de tumores de fosa media,2256
2449,1127,Craneotomia para reseccion de tumores de fosa posterior,2257
2453,1128,Craneotomia para tumores del angulo ponto cerebeloso,2258
3036,11300,Drenaje de absceso o hematoma,2296
1089,11301,Extirpacion tumor de ligamento ancho,237
1050,11302,Biopsia abierta [craneotomia] de cerebro,238
1047,11303,Biopsia de cerebro por trepanacion,239
1199,11304,Biopsia estereotaxica de cerebro,240
10332,1131,Tratamiento por via anterior para tumores de clivus,2299
2452,1132,Craneotomia para tumores de hoz de cerebro,2300
2451,1133,Craneotomia para tumores de cuerpo calloso,2301
6062,1140,Leucotomia,2302
5298,11400,Histerotomia total abdominal. por endometritis,2303
5295,11401,Histerotomia,2304
10233,11402,Traquelectomia,2305
6251,1141,Lobectomia,2306
6520,11410,Miomectomia,2307
8930,114100,Reseccion simple de tumor de cornea sod,5606
4121,11411,Extirpacion polipo cuello uterino,2308
4176,11412,Extraccion cuerpo extrano intrauterino,2309
8670,11413,Reseccion de polipo endometrial,2426
6258,1142,Lobotomia (psicocirugia estereotaxica),2310
1501,114200,Cauterizacion de cornea (termo. quimio. o crioaplicacion) ncoc,5607
5054,1143,Hemisferectomia,2259
6038,11430,Legrado uterino ginecologico (terapeutico o diagnostico),2260
4074,1144,Extirpacion de lesion y/o tejido de las meninges cerebrales,2261
337,11440,Amputacion del cervix,2262
1989,11441,Conizacion,2263
1527,11442,Cerclaje del istmo (orificio interno cuello),2264
8448,1145,Reparacion encefalocele,2265
8452,1146,Reparacion meningocele craneal,2266
5284,11460,Histeroplastia (operacion de strasman),2267
5286,11461,Histerorrafia,2268
10234,11462,Traqueloplastia,2269
10236,11463,Traquelorrafia,2270
10313,1147,Tratamiento de platibasia (sindrome de arnold chiari),2271
5260,11470,Histerectomia abdominal (total o subtotal),2272
5262,11471,Histerectomia abdominal radical,2273
5261,11472,Histerectomia abdominal ampliada,2274
5276,11473,Histerectomia vaginal,2275
5281,11474,Histerectomia vaginal radical,2276
6083,11475,Liberacion de adherencias del utero,2277
3958,11476,Exenteracion o evisceracion pelvica,2278
4293,11477,Extraccion de dispositivo perdido extrauterino intraabdominal,2279
5384,11478,Implantacion intrauterina de platinas radioactivas,2280
2245,1148,Correccion de enfermedad de crouzon,2281
5672,1149,Injertos intracraneanos (medula suprarrenal),2282
7608,1150,Puncion estereotaxica de quistes. abcesos y hematomas intracraneanos,2283
3002,11500,Drenaje absceso o hematoma cupula vaginal,2284
1941,11501,Colpotomia (incision del fondo de saco de douglas),2285
3115,11502,Drenaje vagina,2286
5414,11503,Incision de septum vaginal,2287
10632,11504,Vaginoperineotomia,2288
5383,1151,Implantacion estereotaxica de electrodos y material radio activo,2289
2195,115101,Cornoesclerorrafia (reparacion de herida corneoescleral),6941
1200,1152,Biopsia esterotaxica de lesiones cerebrales,2290
1920,11520,Colpectomia,2291
8400,115200,Reparacion de deshiscencia de herida pos operatoria corneal sod,5608
1923,11521,Colpocleisis,2292
4105,11522,Extirpacion del tabique vaginal,2293
5253,11523,Himenectomia,2294
10629,11524,Vaginectomia,2295
8965,11525,Reseccion tumor benigno de vagina,2311
1623,11530,Cierre fistula vaginal (por cualquier via),2312
9083,115300,Retiro de sutura en cornea sod,5609
1935,11540,Colporrafia anterior,2313
1931,11541,Colporrafia anterior y posterior,2166
1937,11542,Colporrafia posterior,2167
6884,11543,Operacion de manchester(colporrafia anterior con amputacion de cuello),2168
10530,11545,Uretrocolpopexia via abdominal o vaginal,2169
1928,11546,Colpopexia,2170
2007,11550,Construccion vagina artificial,2171
7857,11551,Reconstruccion vagina,2172
2343,1160,Correccion hundimiento craneano,2173
2992,11600,Drenaje absceso de episiorrafia,2174
2997,11601,Drenaje absceso glandula de bartholin,2175
4180,11602,Extraccion cuerpo extrano perine,2176
4185,11603,Extraccion cuerpo extrano vulva,2177
2454,1161,Craniectomia lineal,2178
